Country,CigaretteSmokingPrevalence,TobaccoSmokingPrevalence,TobaccoUsePrevalance,DeathsBySmoking,HealthWarningsOnSmoking,TreatmentInHealthFacilities,MostSoldBrandCigarettePriceInUSD,GDPinUSD,Population
Peru,3.1,3.6,3.6,4453.0,Yes,No,4.9,12310.0,32203944
Philippines,37.7,41.6,41.6,95087.0,Yes,Yes in some,1.1,8139.0,108568836
Poland,24.3,20.2,20.2,76970.0,No,Yes in some,4.2,27455.0,38521457
Portugal,24.8,27.9,27.9,12108.0,No,Yes in some,5.83,27036.0,10289835
Qatar,10.2,11.8,10.2,387.0,Not applicable,Yes in some,2.75,153764.0,2766732
Republic of Korea,36.2,38.2,38.2,,Yes,Yes in some,,,51676900
Republic of Moldova,40.1,44.6,44.6,,Not applicable,Yes in some,1.66,,3141837
Romania,22.8,25.5,25.5,39457.0,No,Yes in some,4.38,20126.0,19606783
Russian Federation,27.7,28.3,28.3,,No,Yes in some,2.01,,145652293
Rwanda,12.9,18.5,19.7,4763.0,No,No,0.77,1929.0,12531808
Samoa,23.1,28.9,28.9,232.0,No,No,5.19,,209701
Sao Tome and Principe,4.1,4.5,5.4,43.0,No,No,,3730.0,211344
Saudi Arabia,18.6,12.7,3.4,11744.0,Not applicable,Yes in most,7.33,50305.0,35018133
Senegal,12.5,14.5,17.4,3074.0,Yes,Yes in some,1.25,2617.0,15574909
Serbia,36.2,40.6,40.6,24253.0,Not applicable,Yes in some,2.48,14124.0,7433818
Seychelles,21.6,35.3,35.3,102.0,Yes,No,8.73,29531.0,103101
Sierra Leone,29.1,23.4,23.4,2181.0,Not applicable,No,,1684.0,7861281
Singapore,17.6,27.8,27.8,2732.0,Not applicable,Yes in most,10.54,68402.0,5814537
Slovakia,18.5,32.3,32.3,8075.0,No,No,3.85,27076.0,5446746
Slovenia,20.9,22.7,22.7,2928.0,No,Yes in some,4.32,29245.0,2105924
Solomon Islands,31.4,37.9,37.9,996.0,No,Yes in some,4.07,,659249
South Africa,28.2,34.3,31.4,33562.0,No,No,2.95,12166.0,57339635
Spain,25.9,27.9,27.9,66520.0,No,Yes in some,5.83,31497.0,46792043
Sri Lanka,10.6,13.8,22.9,10899.0,Not applicable,No,,11663.0,21580710
Sweden,12.4,16.9,28.8,13639.0,No,Yes in most,7.36,45542.0,10162298
Switzerland,22.1,25.1,25.1,10026.0,No,Yes in some,8.7,61373.0,8514434
Thailand,15.8,20.3,3.1,61149.0,Not applicable,Yes in most,1.87,16649.0,71127802
Timor-Leste,4.8,38.2,38.2,,Yes,Yes in some,2.0,,1261846
Togo,10.2,13.5,13.5,2269.0,No,No,1.07,1451.0,8046679
Tonga,38.8,30.2,30.2,100.0,No,Yes in most,8.71,,105151
Tunisia,17.9,22.4,18.8,10686.0,No,Yes in most,1.09,11354.0,11933042
Turkey,27.2,29.3,29.3,85638.0,No,Yes in some,2.9,19270.0,82809305
Tuvalu,30.6,37.4,48.7,17.0,No,No,4.54,,
Uganda,11.6,2.6,2.9,6190.0,Not applicable,No,,2045.0,41515395
Ukraine,38.9,33.8,33.8,115224.0,Yes,Yes in some,1.11,9813.0,44446954
United Arab Emirates,11.3,14.7,18.2,3460.0,Yes,Yes in some,5.45,76398.0,9140170
United Kingdom of Great Britain and Northern Ireland,16.8,19.2,19.2,,No,Yes in most,12.54,,
United Republic of Tanzania,16.6,19.9,23.5,,Not applicable,No,,,
United States of America,17.1,16.3,25.1,,No,Yes in some,6.86,,332140038
Uruguay,19.5,21.8,21.8,4843.0,Yes,Yes in most,4.49,20186.0,3427042
Uzbekistan,10.1,12.3,12.3,21961.0,No,Yes in some,,11220.0,32449576
Vanuatu,2.4,20.1,3.3,242.0,Not applicable,No,6.87,,297298
Yemen,20.7,26.9,32.5,16667.0,Yes,No,2.2,2285.0,30790513
Zambia,11.5,24.1,19.8,4597.0,No,Yes in some,1.71,3534.0,17835893
Zimbabwe,11.1,13.9,13.9,8699.0,No,No,1.75,1611.0,15052184
